               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.021791,           0.0037279,           0.0003294,             0.95196,             0.95781,               0.962,             0.74534,            0.020438,           0.0019641,          0.00043102,           0.0023458,           0.0023458,           0.0023458
                 106,            0.021394,           0.0036925,          0.00029351,             0.94245,             0.95947,             0.96144,             0.73387,            0.020541,           0.0019826,          0.00042827,           0.0023045,           0.0023045,           0.0023045
                 107,            0.021823,           0.0035708,          0.00036768,             0.94662,             0.95986,              0.9637,              0.7386,            0.020686,           0.0019455,          0.00050408,           0.0022657,           0.0022657,           0.0022657
                 108,            0.021533,           0.0036586,          0.00033363,             0.94582,             0.95956,             0.96362,             0.74247,            0.020433,           0.0019784,          0.00052792,           0.0022294,           0.0022294,           0.0022294
                 109,            0.021771,           0.0037878,          0.00040949,             0.94999,             0.95349,             0.96548,             0.74295,            0.020318,           0.0019731,          0.00023394,           0.0021958,           0.0021958,           0.0021958
                 110,            0.021903,           0.0036194,          0.00032548,             0.94325,             0.96071,             0.96851,             0.73683,            0.021332,           0.0019648,          0.00035364,           0.0021647,           0.0021647,           0.0021647
                 111,            0.021558,           0.0035439,          0.00039224,             0.94506,             0.96263,             0.96428,             0.74998,            0.020274,           0.0019418,          0.00030037,           0.0021363,           0.0021363,           0.0021363
                 112,            0.021249,           0.0036459,          0.00030786,             0.95304,             0.95723,             0.96048,             0.74232,            0.020179,           0.0019547,           0.0003994,           0.0021105,           0.0021105,           0.0021105
                 113,             0.02128,           0.0036341,           0.0002575,             0.95283,             0.95908,             0.96928,             0.72832,            0.022198,           0.0019373,          0.00051264,           0.0020874,           0.0020874,           0.0020874
                 114,            0.021374,           0.0035577,          0.00033005,             0.95598,             0.95859,             0.96877,              0.7472,            0.020387,           0.0019795,          0.00064209,            0.002067,            0.002067,            0.002067
                 115,            0.021207,           0.0036889,          0.00024187,             0.95058,             0.96261,             0.96483,             0.74588,              0.0204,           0.0019641,          0.00039526,           0.0020492,           0.0020492,           0.0020492
                 116,            0.021272,           0.0036078,          0.00035463,             0.94769,             0.96146,             0.96408,             0.74741,            0.020322,           0.0019872,          0.00047655,           0.0020342,           0.0020342,           0.0020342
                 117,            0.021035,           0.0035423,          0.00033635,             0.94165,             0.97137,             0.96303,             0.72091,            0.021665,           0.0019684,          0.00038965,           0.0020219,           0.0020219,           0.0020219
                 118,            0.020801,           0.0035502,          0.00020322,             0.95378,             0.96278,               0.965,             0.74005,            0.020606,           0.0019758,          0.00035445,           0.0020123,           0.0020123,           0.0020123
                 119,            0.020718,           0.0035041,          0.00026953,             0.95777,             0.95909,             0.96553,             0.74327,            0.020795,           0.0019604,          0.00046248,           0.0020055,           0.0020055,           0.0020055
